"model_B-MAX","model_C-MAX","model_EcoSport","model_Edge","model_Fiesta","model_Focus","model_Galaxy","model_Grand C-MAX","model_Grand Tourneo Connect","model_KA","model_Ka+","model_Kuga","model_Mondeo","model_Puma","model_S-MAX","model_Tourneo Connect","model_Tourneo Custom","year","price","transmission_Automatic","transmission_Manual","transmission_Semi-Auto","mileage","fuelType_Diesel","fuelType_Hybrid","fuelType_Petrol","tax","mpg","engineSize"
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.857142857142857,14495,0,1,0,0.135052077277031,0,0,1,0.636363636363636,0.590425531914894,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.571428571428571,18495,1,0,0,0.657884682469808,1,0,0,0.636363636363636,0.468085106382979,0.769230769230769
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.857142857142857,17995,0,1,0,0.190950015780993,1,0,0,0.636363636363636,0.555851063829787,0.769230769230769
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.714285714285714,16995,1,0,0,0.119403976810246,1,0,0,0.636363636363636,0.590425531914894,0.384615384615385
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.714285714285714,16495,0,1,0,0.488828718085018,1,0,0,0.636363636363636,0.468085106382979,0.384615384615385
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.714285714285714,17998,0,1,0,0.20201332248044,0,0,1,0.636363636363636,0.0664893617021277,0.384615384615385
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857142857143,7498,0,0,1,0.548547318061762,0,0,1,0.909090909090909,0.196808510638298,0.461538461538462
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.857142857142857,17498,0,1,0,0.0450671938072061,0,0,1,0.727272727272727,0.343085106382979,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.571428571428571,17498,0,1,0,0.283227296134487,1,0,0,0.727272727272727,0.526595744680851,0.769230769230769
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.428571428571429,11000,0,1,0,0.528397481685742,1,0,0,0.272727272727273,0.622340425531915,0.769230769230769
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.571428571428571,8700,0,1,0,0.715626505423678,0,0,1,0.636363636363636,0.215425531914893,0.384615384615385
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.571428571428571,15300,0,1,0,0.783368494493264,1,0,0,0.636363636363636,0.468085106382979,0.769230769230769
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.571428571428571,10760,0,1,0,0.496519875745444,0,0,1,0.636363636363636,0.622340425531915,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.857142857142857,18760,0,1,0,0.170036047110417,0,0,1,0.636363636363636,0.0664893617021277,0.384615384615385
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.428571428571429,18640,0,1,0,0.400405322347547,1,0,0,0.909090909090909,0.319148936170213,0.769230769230769
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.714285714285714,9498,0,1,0,0.513696240801342,0,0,1,0.636363636363636,0.771276595744681,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.714285714285714,13698,0,1,0,0.222877456436153,0,0,1,0.636363636363636,0.590425531914894,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.714285714285714,13298,0,1,0,0.228492167643981,0,0,1,0.636363636363636,0.590425531914894,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.285714285714286,14398,0,1,0,0.418179703981794,1,0,0,0.636363636363636,0.468085106382979,0.769230769230769
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.571428571428571,8998,0,1,0,0.353261682087742,0,0,1,0.636363636363636,0.731382978723404,0.076923076923077
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.857142857142857,12698,0,1,0,0.201481752188575,0,0,1,0.636363636363636,0.526595744680851,0
